dn,P,u,v,w
7.3592e+05,15.47,0.15321,-0.031741,-0.010644
7.3592e+05,15.47,0.15444,-0.026874,-0.011632
7.3592e+05,15.464,0.14069,-0.017502,-0.012243
7.3592e+05,15.458,0.15354,-0.019624,-0.011713
7.3592e+05,15.458,0.14896,-0.013951,-0.011923
7.3592e+05,15.458,0.16738,-0.02362,-0.016137
7.3592e+05,15.464,0.14871,-0.026086,-0.012868
7.3592e+05,15.482,0.16029,-0.017777,-0.0094471
7.3592e+05,15.476,0.16013,-0.0069788,-0.011489
7.3592e+05,15.458,0.17683,0.00011179,-0.014818
7.3592e+05,15.458,0.17002,0.005926,-0.015092
7.3592e+05,15.464,0.16519,-0.00052902,-0.016293
7.3592e+05,15.464,0.16225,0.00052976,-0.0084064
7.3592e+05,15.458,0.1729,0.0084061,-0.0049621
7.3592e+05,15.482,0.16889,0.017615,-0.0030945
7.3592e+05,15.476,0.19066,0.020349,-0.0052037
7.3592e+05,15.476,0.17212,0.01788,-0.0049642
7.3592e+05,15.476,0.17891,0.019705,-0.0036808
7.3592e+05,15.482,0.17387,0.024066,-0.0058639
7.3592e+05,15.495,0.16573,0.028183,-0.0091685
7.3592e+05,15.464,0.16341,0.026087,-0.010277
7.3592e+05,15.47,0.15314,0.027158,-0.0096809
7.3592e+05,15.464,0.17048,0.022532,-0.013015
7.3592e+05,15.495,0.15641,0.027435,-0.01255
7.3592e+05,15.489,0.15899,0.026368,-0.011453
7.3592e+05,15.489,0.15895,0.026361,-0.010454
7.3592e+05,15.489,0.158,0.033601,-0.0094365
7.3592e+05,15.495,0.17502,0.034343,-0.0077507
7.3592e+05,15.482,0.17773,0.040936,-0.0095884
7.3592e+05,15.495,0.17646,0.036051,-0.0076793
7.3592e+05,15.489,0.17506,0.03435,-0.0087498
7.3592e+05,15.507,0.17951,0.047141,-0.011459
7.3592e+05,15.501,0.16807,0.044521,0.0020749
7.3592e+05,15.507,0.19485,0.0451,0.0061415
7.3592e+05,15.495,0.20237,0.055893,0.0025431
7.3592e+05,15.525,0.20473,0.063411,-0.00028122
7.3592e+05,15.501,0.1979,0.061586,-0.00056866
7.3592e+05,15.513,0.20072,0.07259,0.0016848
7.3592e+05,15.507,0.18487,0.07888,0.0041804
7.3592e+05,15.507,0.19401,0.088217,0.0026726
7.3592e+05,15.507,0.1788,0.078465,-0.0020583
7.3592e+05,15.519,0.18277,0.080164,-0.009889
